Age,Gender,WatchHours,FavoriteGenre,Country,Rating
22,Female,15,Drama,China,3.4
47,Male,9,Drama,India,3.8
52,Male,38,Fantasy,France,2.0
59,Female,16,Action,France,4.0
56,Female,36,Sci-Fi,Japan,3.3
57,Female,34,Comedy,China,3.6
30,Male,6,Horror,Japan,3.3
50,Female,27,Animation,Spain,2.0
50,Female,23,Thriller,Germany,1.2
39,Male,12,Comedy,Spain,4.7
26,Female,15,Fantasy,France,3.8
45,Male,21,Animation,China,3.3
20,Female,24,Comedy,France,4.2
39,Female,11,Sci-Fi,Japan,4.3
44,Female,32,Action,France,1.6
54,Male,20,Animation,Spain,4.8
41,Female,27,Fantasy,India,2.8
42,Female,18,Action,China,2.0
59,Male,19,Sci-Fi,Mongolia,4.8
44,Male,19,Horror,Italy,3.6
37,Female,29,Sci-Fi,USA,3.2
55,Male,4,Drama,Spain,1.7
39,Male,8,Drama,Germany,1.6
54,Male,26,Action,Spain,3.8
43,Male,34,Documentary,Germany,4.2
46,Male,3,Horror,France,2.1
18,Male,36,Romance,India,2.5
24,Female,15,Action,Italy,2.3
21,Female,4,Animation,Italy,3.4
54,Female,5,Comedy,Korean,3.9
55,Male,2,Fantasy,Korean,4.6
42,Female,38,Fantasy,USA,2.2
40,Female,15,Thriller,Germany,2.7
22,Male,31,Action,USA,2.2
43,Male,22,Thriller,Spain,2.4
45,Female,33,Comedy,India,2.5
30,Female,10,Comedy,India,2.2
49,Male,1,Thriller,China,2.8
35,Male,18,Comedy,Japan,3.5
25,Male,32,Animation,Spain,4.3
31,Male,32,Drama,China,4.8
27,Male,11,Comedy,Italy,4.5
38,Female,31,Romance,France,3.5
25,Male,29,Comedy,Germany,2.2
57,Male,36,Documentary,USA,3.2
27,Male,29,Action,China,3.1
46,Female,4,Fantasy,Mongolia,3.1
18,Male,34,Fantasy,Italy,4.2
48,Male,28,Drama,Japan,2.6
36,Female,14,Drama,France,3.3
52,Female,6,Drama,Germany,2.1
55,Male,10,Comedy,Spain,4.3
49,Female,22,Action,France,3.5
25,Male,11,Thriller,Spain,4.3
32,Female,1,Horror,Spain,1.0
25,Female,35,Romance,Korean,1.4
24,Male,31,Horror,Korean,2.2
28,Male,6,Comedy,USA,1.9
57,Female,29,Documentary,Italy,2.6
41,Male,25,Documentary,Korean,4.6
38,Male,21,Action,Germany,2.6
24,Male,1,Thriller,Mongolia,3.6
25,Male,13,Thriller,USA,3.9
38,Male,34,Horror,USA,1.2
56,Female,27,Comedy,France,4.9
49,Female,37,Action,Italy,4.5
43,Female,13,Action,France,2.6
59,Male,9,Fantasy,Mongolia,2.1
37,Male,15,Documentary,Korean,2.5
31,Female,38,Documentary,China,1.8
27,Female,38,Sci-Fi,Mongolia,2.9
32,Male,33,Action,Germany,4.5
27,Male,36,Action,Japan,4.1
24,Female,18,Thriller,Italy,2.4
22,Female,26,Thriller,Korean,3.1
49,Female,16,Thriller,Germany,2.9
31,Female,36,Horror,Italy,4.6
32,Male,21,Animation,China,4.0
50,Female,21,Comedy,USA,2.5
58,Female,16,Action,Italy,2.2
33,Male,23,Thriller,Mongolia,2.7
45,Female,1,Sci-Fi,India,3.5
18,Female,11,Sci-Fi,Korean,1.0
53,Female,33,Romance,Japan,3.6
21,Male,34,Sci-Fi,Japan,1.7
46,Female,25,Sci-Fi,France,4.0
56,Female,21,Action,Italy,2.6
37,Female,32,Documentary,Mongolia,3.5
53,Male,3,Comedy,Italy,5.0
48,Male,29,Comedy,Korean,3.5
30,Male,37,Fantasy,Japan,1.7
21,Female,10,Sci-Fi,France,4.0
21,Female,29,Drama,Mongolia,2.8
51,Female,4,Action,Japan,2.9
44,Female,13,Action,France,1.9
28,Male,26,Fantasy,Mongolia,2.7
21,Male,34,Fantasy,Korean,1.2
32,Female,12,Comedy,Korean,4.5
35,Female,19,Animation,Spain,1.4
34,Male,11,Fantasy,Japan,1.5
20,Female,2,Fantasy,Italy,4.3
30,Female,14,Animation,France,3.0
48,Female,1,Action,Italy,4.4
26,Female,34,Animation,Germany,1.3
49,Male,35,Comedy,China,4.3
50,Male,5,Action,India,3.1
52,Male,8,Romance,USA,2.7
39,Female,27,Documentary,Spain,2.6
48,Male,6,Drama,Japan,3.5
38,Male,22,Drama,Japan,3.1
18,Male,23,Drama,Germany,2.6
58,Male,13,Fantasy,Korean,3.8
47,Female,31,Thriller,India,4.3
29,Female,26,Horror,China,2.1
47,Female,12,Animation,Korean,3.3
40,Female,8,Romance,China,4.7
20,Male,3,Horror,USA,4.8
29,Female,32,Horror,Korean,1.9
18,Male,12,Drama,China,4.3
50,Male,10,Documentary,Germany,2.0
33,Female,10,Sci-Fi,France,4.6
56,Male,19,Comedy,Germany,1.8
54,Male,37,Sci-Fi,France,1.1
40,Male,26,Animation,Italy,3.7
49,Male,28,Fantasy,France,2.6
33,Female,3,Sci-Fi,India,3.8
38,Male,22,Drama,USA,1.3
25,Female,36,Fantasy,Spain,3.7
58,Female,21,Documentary,France,3.2
38,Female,32,Thriller,Spain,1.5
46,Male,10,Sci-Fi,France,4.7
22,Female,36,Animation,Korean,3.3
29,Female,25,Romance,USA,2.7
48,Male,26,Thriller,India,1.9
54,Female,27,Drama,Germany,2.1
42,Female,37,Action,China,4.2
26,Female,9,Documentary,Spain,1.5
35,Female,31,Animation,Spain,2.2
39,Female,7,Action,France,4.5
33,Male,22,Drama,Japan,3.4
41,Male,2,Fantasy,Italy,3.3
42,Male,3,Documentary,India,1.7
45,Female,21,Drama,Korean,2.4
43,Male,6,Thriller,India,4.6
29,Male,22,Sci-Fi,Mongolia,3.2
48,Female,2,Animation,USA,3.1
38,Male,11,Drama,Mongolia,3.3
31,Male,5,Action,France,3.5
24,Male,2,Documentary,Mongolia,3.7
54,Female,27,Fantasy,Mongolia,1.4
57,Female,2,Romance,Mongolia,3.2
19,Female,15,Documentary,USA,3.0
51,Female,13,Action,France,1.4
28,Female,27,Horror,India,3.5
26,Male,12,Comedy,Italy,1.8
21,Female,38,Horror,Korean,4.4
52,Female,25,Thriller,Japan,2.5
56,Male,24,Sci-Fi,Italy,1.2
25,Female,27,Horror,Japan,2.8
27,Male,38,Drama,China,2.3
57,Female,36,Animation,Italy,2.1
25,Male,1,Drama,Spain,4.5
35,Male,10,Documentary,Japan,2.0
38,Male,16,Sci-Fi,Mongolia,1.9
52,Male,33,Sci-Fi,Spain,2.3
35,Male,36,Sci-Fi,Korean,4.1
55,Male,24,Comedy,Germany,1.4
53,Female,30,Romance,Japan,3.8
52,Female,31,Comedy,China,2.0
33,Female,25,Romance,Japan,3.7
44,Male,38,Drama,Germany,1.3
37,Male,37,Animation,USA,2.2
41,Female,32,Drama,Germany,2.5
22,Female,4,Action,China,1.0
29,Male,24,Animation,Korean,2.3
55,Male,2,Documentary,Spain,1.5
57,Female,11,Horror,Germany,1.1
31,Female,30,Thriller,India,2.5
45,Male,38,Action,Spain,3.7
50,Male,13,Action,Germany,3.9
46,Female,1,Sci-Fi,Italy,1.1
57,Female,26,Action,Japan,3.4
35,Male,33,Drama,Japan,4.4
31,Male,20,Horror,China,1.2
40,Male,1,Sci-Fi,Korean,2.4
47,Female,39,Documentary,China,2.5
22,Female,2,Fantasy,USA,2.3
33,Female,9,Fantasy,France,4.8
35,Female,36,Fantasy,Japan,1.6
23,Female,36,Fantasy,Germany,1.9
39,Male,7,Comedy,India,1.8
28,Male,28,Romance,Japan,2.5
31,Male,31,Thriller,India,2.2
38,Female,21,Romance,Spain,4.2
58,Female,8,Comedy,Japan,2.5
27,Female,19,Fantasy,India,4.4
42,Female,14,Thriller,Spain,2.7
26,Female,24,Fantasy,USA,2.9
33,Male,1,Animation,India,4.7
18,Male,22,Drama,China,2.4
25,Male,37,Comedy,Italy,4.8
43,Male,13,Documentary,Italy,3.2
59,Male,9,Horror,USA,4.5
52,Female,3,Romance,Japan,4.5
29,Male,26,Drama,USA,3.6
50,Female,18,Drama,India,1.2
40,Female,26,Fantasy,Italy,1.9
27,Female,27,Comedy,Mongolia,5.0
42,Female,5,Comedy,Korean,3.3
50,Male,27,Drama,Korean,2.6
33,Female,17,Animation,Spain,1.3
58,Female,30,Animation,Italy,3.3
58,Male,27,Romance,Spain,3.8
52,Male,22,Fantasy,India,3.3
18,Male,7,Sci-Fi,USA,3.0
36,Female,37,Fantasy,Mongolia,2.4
58,Female,12,Action,China,4.3
33,Female,20,Romance,China,1.1
33,Male,5,Documentary,India,4.4
32,Male,19,Fantasy,Mongolia,2.5
38,Male,3,Comedy,Mongolia,3.5
39,Female,8,Romance,Spain,4.9
30,Female,28,Romance,Spain,4.8
27,Female,6,Fantasy,Mongolia,4.7
36,Female,11,Comedy,France,3.1
37,Female,7,Animation,France,2.7
34,Female,3,Action,Spain,4.5
54,Male,12,Action,Korean,4.6
39,Female,22,Drama,Spain,1.4
42,Female,37,Romance,China,3.1
46,Male,32,Romance,India,4.7
29,Female,26,Horror,Mongolia,3.1
40,Male,26,Animation,China,3.1
41,Male,31,Thriller,Korean,3.4
58,Male,26,Romance,Spain,2.3
35,Female,11,Sci-Fi,France,1.1
36,Male,19,Drama,USA,3.0
59,Female,4,Action,China,4.8
28,Male,19,Romance,Mongolia,2.5
52,Female,25,Fantasy,China,4.6
52,Male,36,Action,USA,3.8
31,Male,8,Animation,Germany,3.9
57,Female,22,Comedy,Japan,4.4
59,Female,10,Romance,Korean,4.7
50,Male,15,Sci-Fi,France,4.4
22,Female,36,Drama,Mongolia,3.9
53,Male,37,Thriller,India,3.0
37,Female,8,Sci-Fi,USA,4.0
21,Male,37,Documentary,Mongolia,2.5
50,Male,8,Action,Japan,4.1
22,Male,6,Animation,France,4.5
56,Female,32,Drama,Mongolia,1.1
34,Female,23,Sci-Fi,USA,4.2
51,Female,33,Comedy,Italy,2.2
22,Male,5,Action,USA,4.3
43,Male,25,Animation,Mongolia,2.7
55,Female,37,Action,Italy,4.2
44,Female,36,Action,Germany,2.8
59,Female,32,Animation,Korean,1.7
29,Male,22,Fantasy,Korean,4.3
23,Female,12,Fantasy,USA,3.8
26,Male,7,Comedy,Korean,3.2
24,Male,29,Sci-Fi,Mongolia,4.3
45,Female,25,Comedy,Spain,3.6
37,Female,28,Drama,Germany,1.9
40,Female,30,Sci-Fi,Italy,1.1
36,Female,10,Documentary,Spain,4.9
54,Male,12,Thriller,Spain,1.6
18,Female,11,Fantasy,Japan,4.7
53,Male,28,Action,Germany,4.7
31,Male,14,Documentary,Mongolia,1.3
48,Female,35,Drama,Japan,5.0
33,Male,37,Fantasy,France,4.8
49,Male,24,Fantasy,Spain,1.9
32,Female,21,Animation,Germany,3.1
56,Male,19,Animation,Germany,1.5
58,Male,15,Animation,Italy,4.8
38,Female,8,Horror,Spain,2.9
32,Female,8,Documentary,China,2.9
24,Female,38,Drama,Mongolia,3.3
29,Female,11,Action,Japan,1.2
46,Female,28,Fantasy,Spain,3.5
43,Female,37,Sci-Fi,USA,2.8
58,Female,16,Drama,China,1.7
51,Female,36,Thriller,China,1.1
37,Female,3,Fantasy,Italy,4.7
57,Female,27,Animation,France,1.8
24,Male,28,Drama,Mongolia,4.6
27,Male,12,Documentary,Korean,4.3
36,Female,35,Documentary,Germany,4.4
25,Female,13,Horror,China,1.8
51,Male,39,Documentary,Germany,4.3
33,Male,29,Horror,USA,4.4
38,Male,20,Comedy,Germany,1.6
37,Male,33,Comedy,Japan,4.8
32,Female,29,Drama,Spain,4.3
37,Male,3,Documentary,Japan,3.2
42,Female,23,Thriller,China,3.1
34,Female,19,Action,Italy,3.0
22,Male,12,Comedy,Mongolia,1.7
52,Male,38,Animation,France,3.6
57,Male,14,Horror,USA,2.9
56,Female,27,Documentary,Germany,3.6
43,Male,15,Fantasy,USA,1.5
53,Male,27,Documentary,Spain,2.0
43,Male,6,Animation,Germany,4.0
31,Male,9,Drama,USA,2.7
19,Female,11,Comedy,USA,2.9
25,Female,36,Fantasy,Spain,2.5
39,Male,37,Fantasy,China,4.2
52,Female,13,Comedy,India,2.2
47,Male,13,Animation,France,4.9
36,Female,33,Thriller,Italy,2.4
26,Male,30,Comedy,France,3.0
30,Female,18,Animation,France,4.6
35,Female,23,Action,China,4.9
54,Male,39,Sci-Fi,Italy,3.1
35,Male,38,Fantasy,China,3.8
56,Female,39,Romance,Korean,4.3
55,Female,5,Thriller,Mongolia,3.2
59,Male,27,Sci-Fi,Japan,3.4
53,Male,7,Sci-Fi,India,2.8
26,Male,7,Action,Mongolia,3.7
59,Male,16,Comedy,Mongolia,3.7
41,Male,9,Sci-Fi,Mongolia,4.3
44,Male,31,Sci-Fi,Italy,3.0
24,Male,8,Action,Italy,1.4
21,Male,32,Drama,USA,3.5
43,Male,11,Romance,Japan,1.3
57,Male,10,Thriller,France,4.0
31,Female,38,Documentary,Germany,2.3
31,Female,5,Romance,Germany,1.7
27,Female,36,Horror,India,4.9
33,Female,24,Sci-Fi,Japan,1.2
38,Male,17,Drama,USA,4.3
46,Male,20,Drama,Korean,4.1
41,Male,21,Documentary,Mongolia,2.6
36,Female,4,Fantasy,Mongolia,1.5
41,Male,1,Horror,USA,2.2
46,Male,15,Drama,USA,1.2
22,Male,13,Action,Spain,3.6
32,Male,5,Comedy,Italy,4.8
50,Female,9,Thriller,Spain,4.7
46,Female,18,Comedy,Italy,3.4
43,Male,28,Action,India,3.8
18,Male,24,Romance,Spain,1.2
37,Female,17,Fantasy,China,1.7
36,Female,6,Thriller,USA,2.2
46,Male,15,Documentary,Japan,1.5
56,Female,3,Documentary,USA,2.1
50,Female,28,Romance,France,1.3
39,Female,29,Romance,Mongolia,2.8
54,Female,35,Fantasy,Korean,3.2
57,Male,21,Action,India,4.4
23,Female,33,Sci-Fi,France,3.1
32,Male,12,Action,Spain,1.9
23,Female,12,Thriller,Spain,4.4
30,Male,27,Thriller,France,3.8
22,Male,9,Animation,France,4.1
56,Male,30,Animation,Germany,2.3
41,Female,11,Drama,Korean,4.1
55,Male,33,Horror,USA,3.4
55,Female,30,Fantasy,Mongolia,1.8
29,Male,18,Sci-Fi,Italy,4.2
22,Male,18,Thriller,Mongolia,2.3
24,Female,8,Thriller,Italy,1.7
59,Male,31,Drama,France,1.2
56,Female,22,Thriller,USA,3.2
52,Female,39,Horror,Japan,2.2
41,Male,11,Horror,Japan,4.8
25,Male,32,Thriller,Korean,3.9
20,Male,8,Comedy,Italy,2.0
27,Female,33,Sci-Fi,France,4.6
44,Female,24,Fantasy,Spain,2.6
51,Female,5,Comedy,Germany,4.1
39,Female,1,Fantasy,Spain,3.8
51,Female,35,Drama,Japan,2.7
49,Female,34,Thriller,Korean,2.0
42,Female,24,Drama,Germany,1.3
57,Male,7,Sci-Fi,China,2.9
49,Female,25,Sci-Fi,China,3.0
43,Female,37,Sci-Fi,Mongolia,4.0
31,Male,25,Fantasy,Germany,1.9
53,Female,32,Animation,Italy,4.4
58,Male,11,Fantasy,India,1.3
33,Male,9,Romance,India,2.3
22,Male,39,Documentary,USA,4.8
43,Female,35,Action,Germany,2.7
32,Male,27,Documentary,China,1.4
58,Male,39,Drama,USA,4.0
20,Female,17,Animation,Mongolia,2.8
54,Female,3,Action,France,1.6
38,Male,9,Documentary,Italy,4.8
36,Male,31,Sci-Fi,Mongolia,1.2
36,Female,16,Animation,Spain,2.5
47,Female,35,Fantasy,USA,3.1
31,Male,24,Animation,Japan,2.1
40,Male,33,Comedy,Korean,2.6
28,Female,4,Sci-Fi,France,4.5
51,Male,23,Action,Japan,2.0
50,Male,1,Sci-Fi,China,2.8
56,Male,2,Thriller,China,2.1
53,Male,29,Comedy,India,3.5
34,Female,24,Animation,Korean,1.7
49,Male,23,Sci-Fi,Korean,2.2
55,Male,29,Documentary,USA,4.5
59,Male,30,Documentary,Spain,4.0
36,Female,28,Sci-Fi,Italy,1.4
47,Female,8,Romance,India,2.3
22,Male,36,Romance,Japan,2.6
31,Male,37,Thriller,Mongolia,2.5
40,Male,39,Horror,Japan,4.0
32,Male,22,Documentary,Mongolia,1.3
50,Male,6,Fantasy,Mongolia,1.2
25,Female,5,Action,Italy,3.2
23,Male,38,Horror,Korean,4.5
50,Male,8,Animation,Spain,3.1
40,Female,25,Drama,Italy,4.9
53,Male,39,Action,Korean,4.9
44,Male,15,Fantasy,Italy,4.3
49,Female,30,Sci-Fi,Mongolia,2.5
40,Male,30,Documentary,Spain,3.2
34,Male,10,Fantasy,France,4.7
49,Male,2,Romance,China,3.4
22,Female,39,Animation,Italy,2.2
34,Male,11,Romance,Korean,3.9
44,Male,6,Sci-Fi,India,4.0
28,Male,3,Thriller,Germany,3.4
37,Male,19,Action,Germany,3.9
30,Male,36,Fantasy,Spain,2.3
36,Male,39,Horror,Spain,2.8
24,Female,22,Thriller,France,2.1
27,Female,35,Drama,USA,2.2
30,Male,31,Animation,Japan,3.4
38,Male,13,Thriller,Japan,2.5
23,Male,7,Horror,Germany,2.6
53,Male,21,Animation,India,4.7
56,Female,13,Drama,France,2.6
32,Female,9,Animation,Mongolia,3.1
42,Male,17,Action,Japan,1.3
51,Male,4,Drama,France,1.1
47,Female,8,Animation,France,4.3
56,Male,25,Action,Spain,4.9
56,Male,32,Thriller,India,2.5
47,Male,31,Fantasy,Spain,1.9
46,Female,3,Comedy,India,4.6
35,Female,21,Fantasy,China,2.4
51,Female,7,Sci-Fi,China,1.0
36,Female,10,Fantasy,Italy,4.4
39,Male,19,Drama,Mongolia,4.5
22,Female,31,Comedy,Spain,1.6
44,Female,10,Animation,USA,1.8
36,Female,15,Documentary,Spain,1.7
44,Male,24,Animation,Korean,3.7
30,Male,24,Documentary,Germany,1.8
37,Female,2,Comedy,Germany,4.8
49,Male,12,Animation,India,2.4
26,Male,37,Drama,USA,4.8
52,Female,26,Drama,Italy,1.0
51,Male,4,Horror,Mongolia,2.1
41,Male,30,Horror,Japan,2.5
58,Male,24,Romance,China,3.5
42,Male,3,Action,France,1.4
22,Female,29,Comedy,Japan,3.8
18,Female,17,Sci-Fi,France,3.3
36,Female,21,Drama,Spain,2.4
40,Male,11,Fantasy,India,3.5
51,Female,7,Fantasy,USA,4.5
41,Male,19,Documentary,India,4.2
57,Male,31,Romance,India,3.9
28,Female,4,Action,USA,3.1
23,Male,24,Drama,Spain,3.3
44,Female,30,Drama,India,3.2
44,Female,32,Action,Spain,3.6
25,Female,17,Fantasy,Germany,4.6
18,Female,27,Animation,India,2.2
37,Male,14,Action,Mongolia,1.6
50,Female,9,Thriller,Korean,4.1
35,Female,8,Fantasy,France,1.7
45,Female,2,Fantasy,Japan,3.2
34,Female,17,Romance,India,3.8
40,Female,6,Action,Mongolia,1.3
52,Female,35,Thriller,Mongolia,2.6
20,Male,23,Animation,France,4.5
34,Female,6,Fantasy,Korean,4.2
20,Female,30,Fantasy,Japan,1.2
37,Male,16,Documentary,China,3.9
47,Male,31,Horror,Italy,2.2
56,Female,20,Action,Mongolia,4.2
27,Male,10,Romance,China,2.3
47,Male,4,Animation,Japan,4.5
54,Female,23,Documentary,Italy,3.8
58,Female,30,Animation,Korean,4.5
31,Male,29,Drama,France,2.7
57,Female,18,Sci-Fi,Italy,2.5
52,Male,1,Drama,France,1.2
23,Male,7,Animation,France,3.4
43,Male,23,Fantasy,Japan,2.0
38,Male,8,Sci-Fi,Mongolia,2.5
29,Female,18,Documentary,India,4.7
53,Male,33,Comedy,Italy,1.5
24,Female,37,Horror,Italy,4.1
26,Male,37,Sci-Fi,Germany,4.0
48,Female,38,Sci-Fi,USA,2.8
52,Female,9,Documentary,Spain,1.1
22,Female,29,Drama,France,4.4
50,Male,15,Comedy,China,4.0
45,Female,1,Comedy,USA,3.6
23,Male,28,Thriller,Spain,2.6
29,Female,34,Action,Korean,3.7
54,Female,21,Fantasy,India,1.3
29,Female,33,Horror,Korean,4.2
25,Male,22,Drama,Germany,3.2
58,Female,33,Romance,China,2.1
44,Female,34,Thriller,USA,1.9
39,Female,7,Documentary,Spain,1.8
54,Male,13,Thriller,India,2.5
24,Male,34,Comedy,Korean,4.8
42,Male,39,Comedy,China,4.8
32,Female,17,Fantasy,Korean,4.2
20,Female,35,Fantasy,India,3.4
37,Male,13,Sci-Fi,Italy,4.0
58,Male,26,Action,Mongolia,2.5
40,Female,1,Documentary,Germany,1.8
34,Male,14,Romance,Germany,4.9
26,Female,7,Horror,Italy,1.4
34,Female,23,Drama,Spain,1.0
23,Male,15,Thriller,Korean,3.5
25,Female,29,Sci-Fi,Germany,2.5
23,Female,17,Action,Italy,1.5
20,Female,32,Comedy,India,1.2
53,Female,7,Thriller,Germany,5.0
33,Female,3,Action,France,4.4
59,Male,31,Thriller,Mongolia,1.9
49,Female,14,Romance,Korean,2.1
43,Male,5,Sci-Fi,Japan,5.0
32,Female,4,Thriller,Japan,4.5
22,Male,7,Animation,France,4.3
45,Female,25,Animation,Italy,1.3
20,Female,27,Documentary,China,1.8
53,Male,38,Fantasy,Mongolia,2.3
35,Female,35,Romance,Korean,3.2
55,Male,15,Drama,Germany,4.0
32,Male,23,Horror,Germany,1.7
56,Male,6,Horror,Spain,1.6
26,Male,25,Comedy,Spain,3.9
47,Female,29,Action,Japan,3.0
35,Female,31,Fantasy,Japan,2.5
34,Female,7,Comedy,Spain,2.6
43,Male,22,Comedy,Spain,2.6
20,Male,22,Comedy,France,1.4
31,Female,1,Sci-Fi,India,1.3
18,Male,35,Sci-Fi,Germany,2.2
52,Female,38,Thriller,Japan,4.6
49,Female,16,Sci-Fi,China,4.3
55,Male,24,Comedy,India,1.7
46,Male,21,Romance,Japan,3.1
37,Male,23,Romance,USA,2.3
47,Female,36,Documentary,France,4.5
40,Male,25,Sci-Fi,USA,2.0
31,Male,5,Action,France,3.2
27,Female,23,Comedy,USA,3.9
24,Female,4,Comedy,USA,3.6
47,Male,22,Sci-Fi,Germany,1.9
19,Male,16,Documentary,Mongolia,4.0
54,Male,30,Thriller,Italy,1.2
29,Female,10,Horror,Italy,2.3
55,Female,31,Drama,Japan,3.1
40,Male,4,Documentary,Italy,4.1
36,Male,10,Sci-Fi,Japan,2.4
42,Male,4,Comedy,Japan,2.6
35,Female,6,Animation,Germany,3.3
40,Male,38,Fantasy,Italy,3.5
47,Female,4,Documentary,Germany,1.1
33,Male,25,Action,Japan,3.9
26,Female,12,Sci-Fi,Spain,2.5
30,Male,37,Comedy,Mongolia,4.6
25,Male,7,Romance,China,4.8
53,Female,39,Thriller,Spain,1.9
24,Female,14,Thriller,Italy,4.2
26,Female,29,Animation,Japan,4.3
43,Female,30,Animation,Korean,1.4
49,Female,14,Thriller,Spain,2.1
55,Female,1,Fantasy,China,1.2
37,Female,24,Romance,USA,1.3
54,Male,2,Sci-Fi,Korean,4.8
57,Male,30,Comedy,Germany,3.0
59,Female,32,Sci-Fi,Italy,3.5
35,Female,13,Animation,Japan,1.9
46,Female,9,Thriller,Korean,1.6
41,Male,18,Horror,Germany,4.8
21,Male,10,Thriller,Mongolia,5.0
30,Female,23,Romance,France,1.3
26,Male,6,Fantasy,India,4.9
22,Male,5,Action,France,2.8
56,Male,5,Drama,Germany,3.7
53,Female,32,Romance,Spain,4.1
56,Female,30,Documentary,Germany,4.4
20,Female,18,Romance,Mongolia,1.6
22,Male,32,Romance,Japan,2.2
30,Female,6,Horror,Italy,2.6
28,Male,4,Fantasy,Spain,1.7
22,Female,3,Animation,India,4.1
36,Female,7,Horror,Italy,4.1
52,Female,11,Action,Mongolia,4.0
30,Female,33,Thriller,USA,3.5
29,Male,14,Fantasy,USA,1.1
32,Male,20,Drama,China,3.0
22,Male,38,Romance,India,1.4
26,Male,14,Fantasy,Spain,1.7
38,Male,28,Sci-Fi,Spain,4.6
48,Female,23,Thriller,Italy,2.6
21,Female,17,Animation,USA,2.3
19,Male,5,Action,Spain,1.9
48,Female,33,Action,France,4.4
46,Female,14,Sci-Fi,Japan,3.4
43,Female,36,Horror,USA,4.6
47,Male,11,Comedy,Italy,4.8
28,Male,22,Romance,China,2.6
43,Male,15,Romance,China,1.8
42,Male,33,Sci-Fi,Spain,3.9
54,Female,38,Thriller,Mongolia,1.2
54,Female,33,Romance,China,4.3
25,Male,1,Sci-Fi,Mongolia,2.2
40,Female,1,Romance,Germany,4.5
51,Female,29,Fantasy,France,4.7
29,Male,7,Romance,Germany,1.7
40,Male,35,Comedy,India,2.6
46,Male,2,Romance,Germany,2.8
54,Male,35,Thriller,Italy,2.5
59,Female,26,Animation,Spain,3.1
51,Female,28,Fantasy,Germany,4.4
56,Female,21,Fantasy,Mongolia,4.2
33,Male,31,Romance,China,1.6
41,Female,30,Thriller,Korean,2.8
44,Male,16,Animation,China,2.2
20,Female,5,Animation,China,3.4
50,Female,18,Fantasy,China,4.3
37,Female,19,Documentary,Mongolia,4.5
37,Female,27,Horror,China,4.6
37,Male,39,Sci-Fi,India,1.4
45,Male,23,Drama,Germany,1.5
28,Female,25,Comedy,Mongolia,2.8
55,Female,31,Romance,Italy,2.9
29,Female,34,Romance,Japan,4.1
43,Male,20,Fantasy,Japan,1.6
32,Male,21,Documentary,China,4.3
25,Male,12,Thriller,Korean,2.9
46,Male,15,Fantasy,France,1.8
51,Male,39,Animation,India,1.5
37,Male,15,Action,India,4.1
35,Female,35,Sci-Fi,France,3.3
36,Male,14,Romance,Germany,1.0
23,Male,31,Documentary,Germany,4.9
59,Female,38,Drama,Japan,3.1
49,Male,20,Action,Italy,3.3
55,Male,30,Fantasy,USA,3.3
47,Male,38,Thriller,France,1.2
34,Male,14,Action,Mongolia,3.5
42,Male,28,Drama,USA,4.2
